"ch1","ch2","ch3","ch4","ch5","ch6","ch7","ch8","ch9"
9.1,4.1,0.5,0.1,-0.2,0.8,-64,-25.6,-4.4
9.1,4,0.5,0,0,0.2,-64,-25.6,-4.4
9,4,0.5,0.3,0.2,-0.4,-64.4,-25.6,-4.9
9,4,0.5,0.5,0.6,-0.6,-64.4,-25.6,-4.9
9.1,4,0.5,0.4,0.6,-0.9,-65.2,-24.9,-4.4
9.1,4,0.5,0.5,0.9,-1.2,-65.2,-24.9,-4.4
9,4,0.5,-0.1,0.2,-1.2,-64.8,-25.2,-3.7
9.2,4,0.4,-0.2,-0.1,-1.3,-64.8,-25.2,-3.7
9,3.9,0.5,-0.4,0.5,-0.7,-64.4,-25.2,-5.2
9.1,3.9,0.4,-0.4,-0.4,-0.9,-64.4,-25.2,-5.2
9.1,3.9,0.4,-1.1,-0.6,-0.7,-64.4,-25.2,-4.4
9,3.9,0.5,-0.9,-0.6,-0.4,-64.4,-25.2,-4.4
9.1,3.9,0.4,-1,-0.7,-0.3,-64.4,-26.4,-5.6
9.1,3.9,0.4,-0.6,-0.1,-0.1,-64.4,-26.4,-5.6
9.1,3.9,0.5,0.4,0.1,0,-64,-25.6,-5.2
9.1,4,0.5,-0.3,-0.4,-0.2,-64,-25.6,-5.2
9.1,3.9,0.5,-0.1,-0.2,0,-64,-26.4,-4.9
9,4,0.5,0.6,-0.1,-0.4,-64,-26.4,-4.9
9.1,4,0.4,0.3,0.1,-0.2,-64,-25.6,-4.4
9,4,0.5,0.5,0.5,0.1,-64,-25.6,-4.4
9,4,0.5,-0.7,-0.6,0,-64,-26,-5.6
9,3.9,0.4,-1.8,-1.1,0.2,-64,-26,-5.6
9,3.9,0.5,-1.2,-0.8,0.4,-64,-26,-5.2
9.1,3.9,0.4,-1,-0.8,0.3,-64,-26,-5.2
9.1,3.9,0.5,-0.4,-0.7,0.2,-64.4,-26,-5.2
9.1,3.9,0.5,1.4,-0.1,0,-64.4,-26,-5.2
9.1,4,0.5,1.2,-0.4,-0.3,-64.4,-26,-4.9
9.1,3.9,0.5,1.4,-0.4,-0.4,-64.4,-26,-4.9
9,3.9,0.5,2,0.1,-0.4,-65.2,-26.4,-5.2
9.1,4,0.5,1.4,-0.2,0,-65.2,-26.4,-5.2
9.1,4,0.5,0.2,-0.1,0.3,-64.4,-25.6,-4.4
9.1,4,0.5,0.4,-0.4,0.3,-64.4,-25.6,-4.4
9.1,4,0.4,0.8,-0.2,0.2,-64.4,-26.4,-6.4
9.1,4,0.4,1.4,0.1,-0.2,-64.4,-26.4,-6.4
9.1,4,0.4,1.4,-0.1,-0.4,-64,-25.6,-4.1
9.1,4,0.3,1.5,-0.1,-0.6,-64,-25.6,-4.1
9,3.9,0.4,1.8,-0.2,0,-64,-25.6,-4.9
9.1,4,0.4,0.5,-1.2,0.1,-64,-25.6,-4.9
9,3.9,0.5,-0.4,-1,0.7,-64.8,-26,-4.9
9,3.9,0.5,0.2,-1.4,0.8,-64.8,-26,-4.9
9.1,4,0.4,0,-1.2,0.8,-64,-25.6,-4.4
9,3.9,0.5,0.1,-0.6,0.6,-64,-25.6,-4.4
9.1,3.9,0.5,0.4,-1.3,0.6,-64.8,-26,-3.7
9.1,4,0.5,0.6,-1.1,0.4,-64.8,-26,-3.7
9,4,0.5,1.4,-0.4,0.4,-63.7,-26,-4.1
9.2,4,0.4,1.8,-0.8,0.5,-63.7,-26,-4.1
9.2,4,0.5,1.8,0.8,1.6,-64.4,-25.2,-4.4
9.1,4.1,0.5,0.4,-0.1,1.7,-64.4,-25.2,-4.4
9.2,3.9,0.4,-3.2,-0.7,1.8,-64.4,-25.6,-4.1
9,3.8,0.4,-2.2,0.7,2.1,-64.4,-25.6,-4.1
9,3.9,0.4,-0.2,1.2,1.9,-64.4,-25.2,-4.4
9.1,3.8,0.3,0.8,0.8,1.7,-64.4,-25.2,-4.4
9.1,3.9,0.4,2.8,1.1,1.9,-64,-24.9,-3.2
9.1,3.9,0.3,1.8,0.1,1.9,-64,-24.9,-3.2
9.2,3.8,0.3,-0.5,-0.7,2.2,-64.8,-25.2,-5.2
9.1,3.8,0.4,0,-0.1,3.1,-64.8,-25.2,-5.2
8.9,3.9,0.5,0.6,0.3,3.2,-64.8,-26,-4.4
8.9,3.9,0.4,0.8,-0.5,2.3,-64.8,-26,-4.4
9.1,3.8,0.4,0.5,-0.9,2,-64.8,-25.6,-5.2
9.1,3.9,0.4,1.4,0.4,1.9,-64.8,-25.6,-5.2
9.2,3.8,0.3,0.3,-0.2,2.2,-64.7,-24.9,-4.1
9.3,3.8,0.3,-0.4,-0.5,2.2,-64.7,-24.9,-4.1
9.2,3.9,0.3,-0.1,-0.2,2.1,-65.5,-24.5,-4.9
9.1,3.9,0.3,-0.3,-0.6,1.8,-65.5,-24.5,-4.9
9.1,3.9,0.4,-0.1,-0.9,1.2,-65.5,-25,-4.4
9.1,3.9,0.4,0.2,-0.5,0.8,-65.5,-25,-4.4
9.1,4,0.4,-0.8,-0.2,0.6,-65.5,-25,-3.7
9,3.9,0.4,-1,-0.8,0.1,-65.5,-25,-3.7
9.1,3.9,0.4,-0.4,-1.3,-0.5,-65.2,-24.6,-4.4
9.2,4,0.4,-1,-1.1,-0.9,-65.2,-24.6,-4.4
9.2,4,0.4,-1.8,-1.6,-1.1,-65.9,-24.6,-4.1
9.2,3.9,0.4,-2.8,-1.2,-1.4,-65.9,-24.6,-4.1
9.1,4,0.5,-3.2,-0.9,-1.2,-65.2,-24.6,-3.7
9,3.9,0.4,-3.6,-0.9,-2.1,-65.2,-24.6,-3.7
9.1,3.9,0.4,-3.7,-0.7,-2.2,-64.8,-23.8,-4.1
9.1,3.9,0.4,-4,-0.4,-2.6,-64.8,-23.8,-4.1
9.2,3.9,0.3,-4.4,-1.1,-3,-65.2,-25,-4.4
9.2,3.9,0.4,-3.6,-0.8,-2.6,-65.2,-25,-4.4
9.1,3.8,0.4,-3.2,-0.9,-2.8,-64.4,-24.6,-4.4
9.1,3.9,0.4,-3.7,-1,-2.9,-64.4,-24.6,-4.4
9.1,3.8,0.4,-3.9,-0.9,-2.6,-65.5,-25.2,-5.2
9.1,3.8,0.4,-3.6,0,-1.9,-65.5,-25.2,-5.2
9.1,3.8,0.4,-3.3,-0.1,-1.8,-64.4,-24.7,-4.1
9.2,3.8,0.4,-2.3,0,-1.9,-64.4,-24.7,-4.1
9.1,3.9,0.4,-1.6,0.2,-1.9,-64.8,-24.7,-5.2
9.1,3.9,0.4,-1.8,-0.2,-2.3,-64.8,-24.7,-5.2
9.1,3.8,0.4,-1.4,-0.5,-2.6,-64.8,-24.7,-5.2
9.1,3.8,0.5,-1.6,-0.1,-1.5,-65.5,-25.1,-5
9.2,3.8,0.4,-1.2,-0.2,-1.5,-65.5,-25.1,-5
9.1,3.8,0.4,-1.6,0.2,-0.6,-64.7,-25.4,-4.5
9.1,3.8,0.5,-1.9,0.2,-0.3,-64.7,-25.4,-4.5
9.1,3.8,0.5,-2.5,0.1,0.1,-64.2,-24.7,-5.2
9.1,3.7,0.5,-2.3,0.3,0.5,-64.2,-24.7,-5.2
9.1,3.8,0.5,-1.4,0.9,0.9,-63.9,-25.2,-5.1
9.1,3.8,0.5,-1.2,0.9,1.1,-63.9,-25.2,-5.1
9.1,3.8,0.4,-0.8,0.9,1.4,-64.2,-25.2,-4.6
9.1,3.8,0.4,-0.2,1.2,1.8,-64.2,-25.2,-4.6
9.1,3.8,0.4,0.4,0.8,1.9,-65.1,-25.2,-3.9
9.1,3.8,0.4,0.4,0.8,2.2,-65.1,-25.2,-3.9
9.1,3.9,0.5,0.6,1.1,2.7,-65.1,-25.4,-6.6
9.1,3.8,0.5,-0.1,0.8,3.2,-65.1,-25.4,-6.6
9.1,3.9,0.6,0.9,1.8,3.4,-64.7,-24,-6.6
9,3.9,0.6,1.5,1.2,2.9,-64.7,-24,-6.6
9.1,3.9,0.5,1.1,0.7,2.1,-65.1,-24.4,-5.4
9.1,3.9,0.6,1.9,1.1,1.4,-65.1,-24.4,-5.4
9.1,3.9,0.6,2.2,1.4,1.5,-64.2,-24.4,-6.2
9.1,3.9,0.6,1.5,1.8,1.5,-64.2,-24.4,-6.2
9,3.9,0.6,0.8,1.8,1.5,-65.2,-25.2,-6.2
9.1,3.9,0.5,0.4,1.2,1.2,-65.2,-25.2,-6.2
9.1,3.8,0.5,1.5,2.6,2,-65.4,-25.2,-5.4
9.1,3.8,0.4,0.8,2.1,2.9,-65.4,-25.2,-5.4
9.2,3.8,0.4,1.1,2.5,2.3,-64.2,-25.2,-5.1
9.2,3.8,0.2,2.6,3.4,2.6,-64.2,-25.2,-5.1
9.1,4.1,0.5,-0.7,4.1,2.7,-65,-24.8,-5.8
9.1,3.7,0.7,-3.3,3.1,1.7,-65,-24.8,-5.8
9.2,3.8,0.6,-1.2,3.2,1.6,-65.7,-24.8,-6.2
9,3.8,0.7,-1.7,2.1,2.1,-65.7,-24.8,-6.2
